Luisa;Luisa.oliveira@hotmail.com;05/07/2002
Lucas;lucas.silva@gmail.com;12/03/1998
João;joao.pereira@gmail.com;17/01/1993
Julia;julia.souza@hotmail.com;15/08/1990
Pedro;pedro.santos@gmail.com;23/11/1995
Mariana;mariana.costa@hotmail.com;30/08/2000
Felipe;felipe.almeida@hotmail.com;14/04/1999
Ana;ana.oliveira@gmail.com;05/07/2002
Beatriz;beatriz.ferreira@hotmail.com;28/12/2001
Rafael;rafael.gomes@gmail.com;03/10/1996
Ana;ana.lima@hotmail.com;22/11/1985
Sofia;sofia.rocha@gmail.com;21/02/1997
Carlos;carlos.souza@hotmail.com;10/05/1992
Julia;julia.martins@gmail.com;19/09/1994
Emelly;anaa.maria@hotmail.com;15/08/1990
